ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,Constitution
202001,Marks,Shenzhen,male,166.0,77.0,100.0,84.0,71.0,91.0,6.0,7.0,6,8,general
202002,Wayne,Shenzhen,female,159.0,77.0,78.0,89.0,59.0,93.0,10.0,6.0,5,9,good
202003,Bonnie,Guangzhou,female,157.0,80.0,81.0,81.0,54.0,91.0,9.0,6.0,7,8,good
202004,Grace,Guangzhou,male,168.0,82.0,62.0,81.0,61.0,89.0,9.0,7.0,8,5,general
202005,Hayden,Shanghai,male,168.0,85.0,82.0,91.0,60.0,92.0,9.0,10.0,9,8,excellent
202006,Chelsea,Guangzhou,female,163.0,79.0,74.0,82.0,74.0,89.0,10.0,10.0,8,9,general
202007,Dylan,Shenzhen,female,154.0,83.0,76.0,85.0,75.0,93.0,7.0,7.0,10,9,general
202008,Yolandaa,Shanghai,male,174.0,82.0,69.0,85.0,67.0,90.0,9.0,7.0,10,8,general
202010,Benson,Guangzhou,female,161.0,77.0,91.0,84.0,65.0,91.0,5.0,9.0,7,5,general
202011,Franklin,Guangzhou,male,161.0,83.0,79.0,75.0,78.0,92.0,7.0,6.0,7,7,good
202012,Phyllis,Shenzhen,female,161.0,80.0,79.0,91.0,59.0,93.0,10.0,9.0,8,9,general
202013,Donald,Beijing,male,163.0,82.0,73.0,83.0,70.0,89.0,10.0,6.0,10,4,general
202014,Joy,Guangzhou,male,161.0,80.0,91.0,85.0,65.0,89.0,10.0,6.0,8,5,good
202015,Josephine,Shanghai,male,175.0,77.0,70.0,86.0,86.0,89.0,10.0,9.0,8,7,excellent
202016,Rebecca,Guangzhou,female,160.0,81.0,79.0,85.0,59.0,86.0,10.0,10.0,8,8,general
202017,Dolores,Shanghai,male,168.0,82.0,86.0,86.0,75.0,87.0,9.0,5.0,10,9,general
202018,Sierra,Shanghai,male,161.0,77.0,93.0,79.0,79.0,89.0,5.0,8.0,10,10,good
202019,Stanley,Guangzhou,female,163.0,83.0,83.0,89.0,70.0,89.0,8.0,6.0,6,6,bad
202020,Hank,Beijing,male,177.0,75.0,60.0,87.0,66.0,88.0,9.0,6.0,10,5,general
202021,Adelaide,Beijing,female,147.0,83.0,82.0,87.0,71.0,89.0,5.0,10.0,10,7,good
202022,Megan,Shenzhen,female,160.0,76.0,78.0,87.0,68.0,86.0,7.0,10.0,10,6,general
202023,Duke,Shanghai,male,167.0,75.0,66.0,86.0,71.0,90.0,6.0,6.0,10,8,bad
202024,Teresa,Shenzhen,male,163.0,79.0,59.0,83.0,69.0,93.0,7.0,10.0,9,6,general
202025,Victoria,Shenzhen,female,153.0,81.0,84.0,91.0,63.0,91.0,9.0,8.0,9,8,general
202026,Donna,Shenzhen,male,166.0,74.0,84.0,85.0,69.0,91.0,5.0,6.0,10,5,good
202027,Angelina,Beijing,male,164.0,79.0,54.0,86.0,70.0,89.0,5.0,8.0,10,9,good
202028,Jeffery,Shanghai,male,171.0,81.0,81.0,88.0,65.0,89.0,6.0,8.0,6,4,good
202029,June,Shenzhen,male,166.0,81.0,67.0,87.0,75.0,92.0,7.0,8.0,8,7,general
202030,Mary,Shenzhen,female,154.0,90.0,91.0,90.0,77.0,91.0,10.0,7.0,7,6,general
202031,Editha,Guangzhou,female,160.0,86.0,88.0,83.0,72.0,92.0,8.0,10.0,7,5,good
202032,Howard,Shenzhen,female,161.0,80.0,79.0,79.0,69.0,90.0,9.0,10.0,10,5,good
202033,Pamela,Shanghai,male,167.0,84.0,74.0,84.0,66.0,93.0,10.0,5.0,7,6,general
202034,Selina,Shanghai,female,161.0,81.0,91.0,81.0,68.0,91.0,9.0,9.0,9,9,good
